,id,path,features_openvino
0,person_0,in/person_0\1.jpg,[]
1,person_0,in/person_0\100.jpg,"[-0.07003957778215408, 0.07996471226215363, 0.0266108401119709, -0.02519385702908039, -0.09549614787101746, -0.07944018393754959, -0.005572782829403877, -0.03089703992009163, 0.13649345934391022, -0.057021014392375946, 0.1959208995103836, -0.05890015512704849, -0.1648266762495041, -0.058243103325366974, -0.11394558101892471, 0.0844082236289978, -0.1280527561903, -0.09120216965675354, -0.12472877651453018, -0.12288682907819748, -0.009099542163312435, 0.06301571428775787, -0.048145875334739685, 0.08269721269607544, -0.18636560440063477, -0.2383802831172943, -0.027291014790534973, -0.10698525607585907, 0.0659390538930893, -0.11631523817777634, 0.02772832289338112, 0.1135108470916748, -0.15011800825595856, -0.061877116560935974, -0.0024677347391843796, 0.0672684758901596, -0.011538797989487648, 0.005094027146697044, 0.19680166244506836, 0.06901004910469055, -0.17544730007648468, 0.14267848432064056, 0.019977781921625137, 0.3759576976299286, 0.1542193591594696, 0.05158616229891777, -0.0059682466089725494, -0.1431930810213089, 0.20135299861431122, -0.17980848252773285, 0.06803195923566818, 0.21284955739974976, 0.11170217394828796, 0.03173302114009857, 0.10064878314733505, -0.10193892568349838, 0.04838845878839493, 0.09319362789392471, -0.20272977650165558, 0.10359744727611542, 0.062317900359630585, -0.04192545264959335, 0.021737447008490562, -0.10954652726650238, 0.0958133414387703, 0.01897454634308815, -0.055738434195518494, -0.07483254373073578, 0.1849621832370758, -0.21187379956245422, -0.05711350962519646, 0.10535422712564468, -0.02279912307858467, -0.1329645812511444, -0.3168741464614868, 0.0493207611143589, 0.32771429419517517, 0.21109411120414734, -0.15966662764549255, 0.053771961480379105, -0.07542366534471512, -0.04314253851771355, 0.07871891558170319, 0.04475509002804756, -0.15947334468364716, -0.039301399141550064, -0.09594466537237167, 0.0068901292979717255, 0.19132639467716217, 0.04468321055173874, 0.006876803934574127, 0.2151133269071579, 0.06681935489177704, -0.06709606200456619, 0.040843505412340164, 0.006161469034850597, -0.23059985041618347, -0.024833261966705322, -0.06334162503480911, -0.026607420295476913, 0.09424899518489838, -0.1660310924053192, 0.03248932957649231, 0.08130096644163132, -0.23573018610477448, 0.18729914724826813, -0.022786401212215424, -0.016037819907069206, 0.02399042434990406, 0.08733638375997543, -0.0633881688117981, -0.01509015541523695, 0.19072654843330383, -0.20555134117603302, 0.20312295854091644, 0.10571350157260895, 0.05206326022744179, 0.11741587519645691, 0.12245989590883255, 0.08160535246133804, -0.12032828480005264, -0.034323468804359436, -0.07356905937194824, -0.1280255764722824, 0.01057262159883976, -0.06117457151412964, 0.1033845841884613, 0.05456112325191498]"
2,person_0,in/person_0\1007.jpg,"[-0.07282204926013947, 0.036366019397974014, 0.0719539076089859, 0.03052721917629242, -0.13227607309818268, -0.025719277560710907, -0.023836081847548485, -0.0650838315486908, 0.12930671870708466, -0.038574811071157455, 0.22666101157665253, -0.029418712481856346, -0.19001251459121704, -0.05995725467801094, -0.11019682139158249, 0.0891922116279602, -0.07904544472694397, -0.09449608623981476, -0.10946360230445862, -0.12328751385211945, 0.05059382691979408, 0.06416188925504684, 0.004538895096629858, -0.05119233950972557, -0.22486978769302368, -0.29003605246543884, -0.03852849453687668, -0.10040469467639923, 0.018975701183080673, -0.0928044393658638, 0.03961711376905441, 0.14552521705627441, -0.2149425894021988, -0.10349807143211365, 0.045791782438755035, 0.1061101108789444, -0.008048225194215775, -0.002508636564016342, 0.14789587259292603, 0.06565722823143005, -0.14456024765968323, 0.13013356924057007, 0.07381483912467957, 0.32633525133132935, 0.13763119280338287, 0.05107468366622925, -0.01715446636080742, -0.05896855890750885, 0.184049591422081, -0.23608078062534332, 0.05159440636634827, 0.15491393208503723, 0.15581904351711273, 0.05170159786939621, 0.17866000533103943, -0.05759652704000473, 0.029115784913301468, 0.11965877562761307, -0.20956403017044067, 0.1016087606549263, 0.027182260528206825, 0.0048178937286138535, 0.05587940290570259, -0.1506301611661911, 0.113382987678051, 0.07431413233280182, -0.03171674162149429, -0.05343421921133995, 0.1571199893951416, -0.15560968220233917, -0.07959799468517303, 0.05310111492872238, -0.09049028158187866, -0.1294516623020172, -0.3427535891532898, 0.04521670937538147, 0.37150636315345764, 0.1714104562997818, -0.1692548394203186, -0.002592850476503372, 0.006140539422631264, -0.049362555146217346, 0.0017506397562101483, 0.00017012492753565311, -0.09822290390729904, 0.009942116215825081, -0.04591996222734451, -0.009829885326325893, 0.24336379766464233, 0.00878902431577444, -0.019332746043801308, 0.23920178413391113, 0.007806779816746712, -0.05256275087594986, 0.040602829307317734, -0.03970672935247421, -0.1934584677219391, -0.07440221309661865, -0.13748577237129211, -0.06063951551914215, -0.03428320586681366, -0.15865367650985718, 0.033865783363580704, 0.11014670133590698, -0.19461186230182648, 0.08895999938249588, -0.07585931569337845, -0.04082854464650154, -0.04374139383435249, 0.0886082649230957, -0.0836852565407753, -0.014071396552026272, 0.13899479806423187, -0.19979380071163177, 0.21761083602905273, 0.13637742400169373, 0.01580449938774109, 0.08419381082057953, 0.07161429524421692, 0.03040415793657303, -0.07296688854694366, 0.06453542411327362, -0.028265004977583885, -0.18443435430526733, -0.005474351346492767, -0.05855250731110573, 0.0214870385825634, 0.040376853197813034]"
3,person_0,in/person_0\1016.jpg,"[-0.06365539878606796, 0.054096899926662445, 0.04059626907110214, -0.0008932040072977543, -0.13239407539367676, -0.025761647149920464, -0.032565221190452576, -0.09850005805492401, 0.14660906791687012, -0.04558026045560837, 0.18401795625686646, -0.023406298831105232, -0.20939645171165466, -0.07601119577884674, -0.095862478017807, 0.09815674275159836, -0.09816967695951462, -0.09070999920368195, -0.09710244834423065, -0.13986998796463013, 0.009340694174170494, 0.05626112222671509, 0.014802422374486923, -0.024881724268198013, -0.20931746065616608, -0.2498762458562851, -0.04118376225233078, -0.12103809416294098, 0.011161047965288162, -0.06901583075523376, 0.007342003285884857, 0.09694993495941162, -0.22492735087871552, -0.09762853384017944, 0.019397862255573273, 0.10592314600944519, -0.012836413457989693, -0.029951879754662514, 0.14016856253147125, 0.08295167237520218, -0.09772399067878723, 0.10310913622379303, 0.055724915117025375, 0.2618066966533661, 0.13885007798671722, 0.023745549842715263, 0.0005204696208238602, -0.08942189067602158, 0.20489071309566498, -0.203809455037117, 0.07077991217374802, 0.1558181345462799, 0.16448169946670532, 0.05489811301231384, 0.17245499789714813, -0.06150103360414505, 0.043281570076942444, 0.11954247951507568, -0.20902641117572784, 0.08739382773637772, 0.02318182960152626, 0.03249892592430115, 0.0077852001413702965, -0.1260984241962433, 0.09871525317430496, 0.10546517372131348, -0.003371285740286112, -0.06640160083770752, 0.1713714599609375, -0.1603645384311676, -0.1053953468799591, 0.031669773161411285, -0.07150828838348389, -0.12008199095726013, -0.32763034105300903, 0.030201271176338196, 0.336619108915329, 0.21361969411373138, -0.1791277676820755, 0.015826042741537094, -0.02156556211411953, -0.06619609892368317, 0.013468192890286446, 0.00407376978546381, -0.08329375833272934, 0.013160631991922855, -0.04884571582078934, -0.003123342990875244, 0.20228293538093567, -0.005406202748417854, -0.005050688050687313, 0.23852083086967468, 0.026184894144535065, -0.02542702853679657, 0.03204188123345375, -0.049389421939849854, -0.19448064267635345, -0.05686669796705246, -0.0983673557639122, -0.08798468112945557, 0.01717638224363327, -0.12818790972232819, 0.04429597035050392, 0.08295644074678421, -0.1973627209663391, 0.09825518727302551, -0.05316658318042755, -0.046148814260959625, -0.03152842819690704, 0.06561288237571716, -0.049713317304849625, -0.006944291293621063, 0.1422155648469925, -0.19056695699691772, 0.2178422063589096, 0.10933104157447815, -0.042824529111385345, 0.09517095237970352, 0.04939749464392662, 0.06031370162963867, -0.07308799773454666, 0.029748788103461266, -0.028539780527353287, -0.18805134296417236, -0.01840219646692276, -0.03712695091962814, 0.02862388640642166, 0.06474992632865906]"
4,person_0,in/person_0\102.jpg,"[-0.039636239409446716, 0.06792464107275009, 0.010344372130930424, -0.03255448862910271, -0.10819194465875626, -0.05959037318825722, 0.0019591599702835083, -0.032021209597587585, 0.13746044039726257, -0.06502383947372437, 0.22445297241210938, -0.05738221853971481, -0.15649569034576416, -0.06948515772819519, -0.09945984929800034, 0.08503956347703934, -0.12490353733301163, -0.09389201551675797, -0.11022980511188507, -0.1234174594283104, -0.00050352793186903, 0.04590670019388199, -0.03801780566573143, 0.07290290296077728, -0.21108058094978333, -0.20937992632389069, -0.01413942500948906, -0.13434335589408875, 0.09597473591566086, -0.1056671068072319, 0.024703199043869972, 0.1375972479581833, -0.12759681046009064, -0.061723459511995316, 0.009247547015547752, 0.07678760588169098, 0.007087579928338528, -0.012351879850029945, 0.18989993631839752, 0.05582733079791069, -0.15390793979167938, 0.15635526180267334, 0.02240474335849285, 0.3675145208835602, 0.16317591071128845, 0.040263306349515915, 0.01937010884284973, -0.12013819813728333, 0.21401235461235046, -0.21739712357521057, 0.07561183720827103, 0.16881786286830902, 0.1263512372970581, 0.02189333736896515, 0.1343391239643097, -0.11687631905078888, 0.04417720064520836, 0.10191814601421356, -0.198813796043396, 0.11425874382257462, 0.049334194511175156, 0.0218286644667387, 0.03221970796585083, -0.13484801352024078, 0.11734969913959503, 0.012011838145554066, -0.06512417644262314, -0.039124976843595505, 0.18137313425540924, -0.19933582842350006, -0.06619306653738022, 0.11215988546609879, -0.04846351966261864, -0.12286321073770523, -0.29947900772094727, 0.04738588258624077, 0.326402872800827, 0.23247182369232178, -0.14964108169078827, 0.06389452517032623, -0.05049522593617439, -0.02769438922405243, 0.0528249517083168, 0.015465185046195984, -0.14658597111701965, -0.04282233119010925, -0.08024881780147552, -0.009438548237085342, 0.20595738291740417, 0.034039027988910675, 0.011201296001672745, 0.24140581488609314, 0.05636026710271835, -0.07325983792543411, 0.02806280180811882, -0.020204847678542137, -0.19877448678016663, -0.04472282901406288, -0.05790550634264946, -0.032977428287267685, 0.07568597793579102, -0.18553104996681213, 0.028307823464274406, 0.08104394376277924, -0.26978474855422974, 0.1614019274711609, -0.055221013724803925, 0.0009124809876084328, 0.02551184594631195, 0.09060686081647873, -0.059241894632577896, 0.020793795585632324, 0.20107170939445496, -0.22505784034729004, 0.18102462589740753, 0.11903969198465347, 0.07084132730960846, 0.09900910407304764, 0.11484947800636292, 0.0498620942234993, -0.09667682647705078, -0.02496943436563015, -0.07257672399282455, -0.13923940062522888, 0.005158205050975084, -0.09364262968301773, 0.07384950667619705, 0.06624063849449158]"
5,person_0,in/person_0\1026.jpg,"[-0.038284990936517715, 0.04821193590760231, 0.03823927044868469, 0.010044914670288563, -0.11485040932893753, -0.013585738837718964, -0.04457166790962219, -0.06001114100217819, 0.13202667236328125, -0.05295678973197937, 0.17946144938468933, -0.02929488569498062, -0.1967960000038147, -0.12821108102798462, -0.08030529320240021, 0.09912175685167313, -0.07939137518405914, -0.09189789742231369, -0.11925379186868668, -0.1522330492734909, 0.023818109184503555, 0.046502627432346344, 0.017579754814505577, -0.041239649057388306, -0.22640131413936615, -0.27749714255332947, -0.02636478841304779, -0.1346537321805954, 0.06275785714387894, -0.09517516940832138, -0.005907963961362839, 0.09138816595077515, -0.22609274089336395, -0.11339937895536423, 0.0495719388127327, 0.12068846821784973, 0.01051252894103527, -0.008104724809527397, 0.14033983647823334, 0.06507719308137894, -0.12836028635501862, 0.11353158205747604, 0.054562024772167206, 0.25824037194252014, 0.14847534894943237, 0.04551663622260094, -0.0065270476043224335, -0.04479489475488663, 0.20663200318813324, -0.21624301373958588, 0.0814441591501236, 0.15273356437683105, 0.14856849610805511, 0.06590896844863892, 0.18423596024513245, -0.076335608959198, 0.026329323649406433, 0.13615261018276215, -0.21112743020057678, 0.09220331907272339, 0.00572394672781229, -0.010196326300501823, -0.010937085375189781, -0.11157558113336563, 0.0850348100066185, 0.07982975989580154, -0.023528169840574265, -0.08658967912197113, 0.19749557971954346, -0.1616443544626236, -0.04190978780388832, 0.05801013857126236, -0.06184297800064087, -0.08913380652666092, -0.3187883794307709, 0.049389224499464035, 0.34989383816719055, 0.21464146673679352, -0.17879295349121094, 0.006801430135965347, -0.02850690856575966, -0.04353473335504532, -2.3830216377973557e-06, -0.00046719517558813095, -0.04980401322245598, 0.0027224039658904076, -0.02556355856359005, -0.010731451213359833, 0.1738475114107132, 0.0008791303262114525, 0.0029887808486819267, 0.21855701506137848, 0.0028307735919952393, -0.012724222615361214, 0.018312010914087296, -0.04441118985414505, -0.21614252030849457, -0.07619614899158478, -0.08219987154006958, -0.0789276733994484, 0.018247617408633232, -0.15085414052009583, 0.04756573587656021, 0.09038824588060379, -0.19168995320796967, 0.10404666513204575, -0.06423677504062653, -0.03742499276995659, -0.014126382768154144, 0.09781686961650848, -0.030228275805711746, -0.010317979380488396, 0.13569055497646332, -0.21705685555934906, 0.25200819969177246, 0.1525384783744812, -0.02777620032429695, 0.09271427989006042, 0.05905637517571449, 0.051009662449359894, -0.0400199256837368, 0.01935056410729885, -0.04285641014575958, -0.21787138283252716, -0.052679114043712616, -0.06162648648023605, -0.0009403889998793602, 0.04201968386769295]"
6,person_0,in/person_0\1038.jpg,"[-0.019383102655410767, 0.047979243099689484, 0.033572517335414886, 0.0242608655244112, -0.14212290942668915, 0.003123845439404249, -0.04323882609605789, -0.059994522482156754, 0.12654536962509155, -0.05704154819250107, 0.1941009908914566, -0.025940096005797386, -0.18231108784675598, -0.1316860169172287, -0.08307623863220215, 0.09946905821561813, -0.08427664637565613, -0.1067010760307312, -0.1192006766796112, -0.15904204547405243, 0.008716840296983719, 0.07814706861972809, 0.02055877447128296, -0.03240179270505905, -0.22736653685569763, -0.27933865785598755, -0.01285569928586483, -0.13449841737747192, 0.05462983250617981, -0.10879248380661011, -0.009598013944923878, 0.1219213455915451, -0.24533435702323914, -0.11720670759677887, 0.06667137145996094, 0.13470840454101562, -0.019668390974402428, -0.027449248358607292, 0.12388351559638977, 0.07926163077354431, -0.11470822989940643, 0.12226559221744537, 0.057173773646354675, 0.2649296820163727, 0.16556650400161743, 0.02225933037698269, -0.023717695847153664, -0.05398184806108475, 0.1951656937599182, -0.2174483984708786, 0.06278141587972641, 0.17528581619262695, 0.15367475152015686, 0.07632879912853241, 0.14586426317691803, -0.04214119911193848, 0.036977726966142654, 0.12961825728416443, -0.2042067050933838, 0.08491570502519608, 0.008951399475336075, -0.0371410958468914, -0.010931952856481075, -0.09875554591417313, 0.08349458873271942, 0.06678580492734909, -0.008134119212627411, -0.085387222468853, 0.18880192935466766, -0.15911675989627838, -0.07393042743206024, 0.0734538584947586, -0.07270453125238419, -0.10151073336601257, -0.29564031958580017, 0.05492495000362396, 0.37619689106941223, 0.20734803378582, -0.17772534489631653, 0.004247650504112244, -0.031192202121019363, -0.045957326889038086, -0.02058764360845089, 0.010041218250989914, -0.04737783968448639, -0.02892286330461502, -0.039539873600006104, 0.01895834505558014, 0.20330694317817688, -0.004848935641348362, -0.012735756114125252, 0.2234821766614914, 0.008598250336945057, -0.023315951228141785, 0.0437464565038681, -0.04956755414605141, -0.19294248521327972, -0.07777802646160126, -0.09343235194683075, -0.10957597196102142, 0.016416333615779877, -0.15485846996307373, 0.024418316781520844, 0.09519676864147186, -0.18330979347229004, 0.1123727560043335, -0.0639844685792923, -0.05452863872051239, 0.009511608630418777, 0.0641564130783081, -0.027167394757270813, -0.009741152636706829, 0.14308717846870422, -0.20115162432193756, 0.2575390040874481, 0.13923153281211853, 0.00570566626265645, 0.10339732468128204, 0.055011142045259476, 0.05462280660867691, -0.05156700685620308, -0.007695320062339306, -0.03886844217777252, -0.22462789714336395, -0.040000639855861664, -0.04683346673846245, 0.007290719076991081, 0.020235389471054077]"
7,person_0,in/person_0\105.jpg,"[-0.057419486343860626, 0.06462641060352325, 0.0164723452180624, -0.012444370426237583, -0.08969948440790176, -0.054306190460920334, 0.007624000310897827, -0.027006082236766815, 0.142659530043602, -0.057123418897390366, 0.22491152584552765, -0.02610953524708748, -0.12285614013671875, -0.10014766454696655, -0.06334100663661957, 0.09835512936115265, -0.13039888441562653, -0.09416128695011139, -0.10845465958118439, -0.11434512585401535, -0.011478332802653313, 0.0517747588455677, -0.04186101257801056, 0.0707099437713623, -0.19722998142242432, -0.22617770731449127, -0.014796862378716469, -0.11964751034975052, 0.07357215881347656, -0.10733666270971298, 0.027452442795038223, 0.1337893158197403, -0.12706094980239868, -0.06657671928405762, 0.010040827095508575, 0.09651563316583633, -9.800377301871777e-05, 0.007543209940195084, 0.16877375543117523, 0.048570141196250916, -0.1564473807811737, 0.14698903262615204, 0.04660138487815857, 0.3665667772293091, 0.17276589572429657, 0.037969108670949936, 0.010491754859685898, -0.12614230811595917, 0.19627690315246582, -0.19927485287189484, 0.07344572991132736, 0.15771973133087158, 0.10321550071239471, 0.03190157562494278, 0.13124439120292664, -0.09679995477199554, 0.03065439872443676, 0.08666843175888062, -0.18573768436908722, 0.0991770550608635, 0.03385588526725769, 0.020147841423749924, 0.026666773483157158, -0.12198833376169205, 0.09548734128475189, 0.020385345444083214, -0.04460225626826286, -0.07365888357162476, 0.1413545310497284, -0.21100006997585297, -0.09016447514295578, 0.1212366372346878, -0.04382475093007088, -0.12785501778125763, -0.3291475772857666, 0.028739767149090767, 0.32259678840637207, 0.2059861123561859, -0.14901091158390045, 0.05462553724646568, -0.043011024594306946, -0.060605358332395554, 0.06857004016637802, 0.023573584854602814, -0.12468753010034561, -0.038850996643304825, -0.09125237166881561, 0.003904571756720543, 0.21708717942237854, 0.04676072299480438, 0.014203506521880627, 0.21931657195091248, 0.05884401127696037, -0.08026639372110367, 0.020093612372875214, 0.0007179842796176672, -0.17990945279598236, -0.021323759108781815, -0.08540493994951248, -0.07183104008436203, 0.07710433751344681, -0.1528882533311844, 0.03282364085316658, 0.07865768671035767, -0.2743630111217499, 0.17116212844848633, -0.02710101380944252, 0.006677055731415749, 0.038230422884225845, 0.08925379812717438, -0.07023343443870544, 0.017849871888756752, 0.1989108920097351, -0.1998675912618637, 0.1729588657617569, 0.12442923337221146, 0.0632714182138443, 0.09147179126739502, 0.10650742053985596, 0.058612972497940063, -0.12171842902898788, -0.03245934098958969, -0.072140172123909, -0.10185527801513672, -0.011528694070875645, -0.07410815358161926, 0.08251344412565231, 0.06378579884767532]"
8,person_0,in/person_0\1051.jpg,"[-0.02166823111474514, 0.03535119816660881, 0.027364451438188553, 0.021365657448768616, -0.12908412516117096, 0.034255027770996094, -0.046604037284851074, -0.06862571090459824, 0.12983907759189606, -0.052552107721567154, 0.1788690835237503, 0.015329201705753803, -0.1884855180978775, -0.1203993633389473, -0.06355711817741394, 0.09327777475118637, -0.08994756639003754, -0.12673169374465942, -0.13795998692512512, -0.10802814364433289, -0.026116669178009033, 0.10136417299509048, 0.009584038518369198, -0.03690794110298157, -0.2232353240251541, -0.2750091254711151, -0.01738888956606388, -0.09950162470340729, 0.04940875992178917, -0.10813725739717484, -0.006444700062274933, 0.11554492264986038, -0.2640838623046875, -0.10284747183322906, 0.0605950653553009, 0.12570145726203918, -0.015413593500852585, -0.034424908459186554, 0.13821473717689514, 0.10554388910531998, -0.13373339176177979, 0.14101405441761017, 0.03338504582643509, 0.28091174364089966, 0.1638050079345703, 0.0009627573890611529, -0.027606399729847908, -0.047567397356033325, 0.17172275483608246, -0.25743263959884644, 0.06943262368440628, 0.16508570313453674, 0.12481420487165451, 0.09838531166315079, 0.12260521948337555, -0.06959781050682068, 0.03258690610527992, 0.11853066086769104, -0.17979608476161957, 0.09189369529485703, -0.006628676783293486, -0.04193917661905289, 0.040754519402980804, -0.09121382981538773, 0.10588818043470383, 0.06202948838472366, 0.0017972462810575962, -0.10387279093265533, 0.14519208669662476, -0.1710704267024994, -0.09502565115690231, 0.05163854733109474, -0.056278396397829056, -0.09862547367811203, -0.34185880422592163, 0.05677877366542816, 0.33441412448883057, 0.21606133878231049, -0.22297586500644684, 0.031599126756191254, -0.04731365665793419, -0.037304751574993134, 0.00660184770822525, 0.008206344209611416, -0.02830735594034195, 0.005073257721960545, -0.03840691223740578, -0.015602164901793003, 0.26782840490341187, 0.015647541731595993, -0.03139548376202583, 0.2561357319355011, 0.031231610104441643, -0.029325144365429878, 0.08799708634614944, -0.06286974996328354, -0.13372203707695007, -0.11484027653932571, -0.1161368265748024, -0.07640407234430313, -0.02107045240700245, -0.14036336541175842, 0.026475314050912857, 0.10428477823734283, -0.19280827045440674, 0.1408160775899887, -0.03840615972876549, -0.05692698433995247, 0.011680683121085167, 0.07696013897657394, -0.0584542490541935, -0.024656200781464577, 0.15383771061897278, -0.23704566061496735, 0.2906785011291504, 0.14437682926654816, 0.02744486927986145, 0.11682534962892532, 0.06636659801006317, 0.05989346653223038, -0.08113209903240204, 0.040022112429142, 0.0013886973029002547, -0.22123925387859344, -0.014440749771893024, -0.032358318567276, 0.027631543576717377, 0.055122923105955124]"
9,person_0,in/person_0\1062.jpg,"[-0.018115075305104256, 0.025159746408462524, 0.03425416350364685, 0.029880331829190254, -0.08097116649150848, 0.06206014007329941, -0.01717863231897354, -0.04867205396294594, 0.18715135753154755, -0.09729718416929245, 0.1905776560306549, -0.012956689111888409, -0.178959459066391, -0.0813351571559906, -0.07111542671918869, 0.10112054646015167, -0.13061265647411346, -0.0998895987868309, -0.11711426824331284, -0.10554145276546478, 0.04908585548400879, 0.11033527553081512, 0.0013194503262639046, -0.016278905794024467, -0.22602948546409607, -0.2587083578109741, -0.04980497807264328, -0.0823216438293457, 0.048811402171850204, -0.1318860948085785, -0.02317091077566147, 0.08910530060529709, -0.25181329250335693, -0.09186011552810669, 0.03367271274328232, 0.05005279928445816, -0.021415499970316887, -0.06535474956035614, 0.13477733731269836, 0.11579331755638123, -0.12094205617904663, 0.060304220765829086, 0.03132990002632141, 0.27205172181129456, 0.16584765911102295, -0.0025844844058156013, -0.05442991852760315, -0.0699997991323471, 0.1299193650484085, -0.26071876287460327, 0.05812714248895645, 0.18123705685138702, 0.09565766155719757, 0.10992982983589172, 0.11008277535438538, -0.030622370541095734, 0.002247655764222145, 0.1632002294063568, -0.15287744998931885, 0.1171054020524025, 0.014831887558102608, -0.04506982862949371, 0.061039701104164124, -0.06019418314099312, 0.0794677659869194, 0.05057189613580704, -0.005120420828461647, -0.1264306902885437, 0.14365337789058685, -0.16698651015758514, -0.113856740295887, 0.040240541100502014, -0.06263680756092072, -0.16323372721672058, -0.3545069694519043, 0.04230695217847824, 0.3518078923225403, 0.22962266206741333, -0.17395371198654175, 0.03584190085530281, -0.05911232531070709, -0.04640096053481102, 0.05185515433549881, 0.05063994973897934, -0.034456655383110046, 0.0010292837396264076, -0.025772497057914734, 0.029191266745328903, 0.24809426069259644, 0.028187040239572525, -0.04927409812808037, 0.2757907509803772, 0.0016460176557302475, -0.06997982412576675, 0.0628221407532692, -0.052901484072208405, -0.11121085286140442, -0.07979370653629303, -0.13201594352722168, -0.08116793632507324, -0.02923804149031639, -0.0843605324625969, 0.02903056889772415, 0.15467025339603424, -0.18078617751598358, 0.11009705811738968, -0.03454403206706047, -0.08440069854259491, 0.014103866182267666, 0.0463532917201519, -0.1065189316868782, -0.031007202342152596, 0.13306768238544464, -0.2248179316520691, 0.18359102308750153, 0.14355304837226868, 0.0671415627002716, 0.11629618704319, 0.06086480990052223, 0.07393332570791245, -0.036041438579559326, 0.013515615835785866, -0.044599417597055435, -0.14586129784584045, 0.009759275242686272, 0.006944043096154928, 0.0181044302880764, 0.020063411444425583]"
